,IDE,Developer,Latest stable release,Platform,License,Written in
0,Anjuta,Anjuta Team,June 2013,Unix-like,GPL,C
1,Atom,GitHub,"1.33.1 / December 19, 2018",Cross-platform,MIT License,JavaScript
2,Brackets,Adobe,September 2017,Cross-platform,MIT License,"JavaScript, HTML, CSS"
3,Aptana Studio,"Aptana, Inc.",December 2013,Cross-platform,"GPL, proprietary","Java, JavaScript"
4,Codeanywhere,"Codeanywhere, Inc.",August 2015,Cloud IDE,Proprietary,JavaScript
5,CodeLite,CodeLite,October 2015,Cross-platform,GPL,C++
6,Eclipse Web Tools,IBM,,"Windows, Linux, macOS, FreeBSD, JVM, Solaris",EPL,"C, Java"
7,Komodo IDE / Edit,ActiveState,"November 19, 2013",Cross-platform,"IDE:Proprietary, Edit:MPL 1.1","C, C++, JavaScript, Perl, Python, Tcl, XUL"
8,NetBeans,Oracle,"9.0 / July 29, 2018; 16 months ago[27]",Cross-platform,"CDDL, GPL2",Java
9,Nodeclipse NTS,Nodeclipse,"March 31, 2014","Windows, Linux, macOS, FreeBSD, JVM, Solaris",EPL,Java
10,NuSphere PhpED,NuSphere,June 2011,Windows,Proprietary,
11,Oracle JDeveloper,Oracle Corporation,July 2013,"Windows, Linux, macOS",Proprietary – free[28],Java
12,Servoy,Servoy Developer Team,June 2011,Cross-platform,Servoy License,Java
13,SlickEdit,SlickEdit,October 2016,"Windows, Linux, macOS, Solaris, AIX, HP-UX",Proprietary,C++
14,Visual Studio,Microsoft,"March 31, 2016[29]",Windows,Proprietary,"C++, C#"
15,Visual Studio Code,Microsoft,"1.30.2 / January 8, 2019",Cross-platform,MIT License,JavaScript
16,WebStorm,JetBrains,2019.1/ 25 March 2019[30],Cross-platform,Proprietary,Java
