,Name,"Programming language, toolkit",Operating system,License,Integration,Languages,Network protocols,Current version,Last release date,Server functionality,Visualization
0,AnkhSVN,"C#, SharpSvn",Microsoft Windows,Apache License,Microsoft Visual Studio (all editions except Express),English,"http, https, svn, svn+ssh, file",2.6.12735,"October 5, 2016;3 years ago",No,"Diff, blame, history, properties"
1,Cornerstone,Xcode,macOS,"Proprietary, free trials available",Standalone GUI,English,"http, https, svn, svn+ssh, file",3.1,"February 8, 2018;21 months ago",No,"Diff, blame, history, properties"
2,CODESYS SVN,"C#, SharpSvn",Microsoft Windows,"proprietary, trials can be negotiated",SVN plugin for CODESYS V3,"English, German","http, https, svn, svn+ssh, file",V4.1.0.2 (based on SVN 1.9.4),"November 3, 2016;3 years ago",No,"Diff, merge, log"
3,eSvn,"C++, Qt","Unix-like operating systems (GNU/Linux distributions, FreeBSD, Sun Solaris and others), Mac OS X and Windows",GPL,"GUI, standalone (like WinCVS, Cervisia)",English,"http, svn",0.6.12,"For *nix OSs: July 16, 2007;12 years ago.[3] For Windows: July 12, 2007;12 years ago[4]",No,?
4,kdesvn,"C++, Qt","Linux, Unix, Mac OS X",GPL,"Konqueror, Dolphin, standalone",English,"file, http, https, (k)svn, (k)svn+file, (k)svn+http, (k)svn+https, (k)svn+ssh",2.0.0,"December 4, 2016;2 years ago[5]",Yes,?
5,PixelNovel Timeline,C++,"Mac OS X, Microsoft Windows","Free if used with PixelNovel web storage, 30-day trial with commercial upgrade otherwise",Adobe Photoshop,English,svn,1.0,"July 7, 2009;10 years ago[6][7]",?,?
6,QSvn,"C++, Qt","Linux, Unix, Mac OS X, Microsoft Windows",GPL,"GUI, standalone (like WinCVS)",English,,0.8.3,"July 26, 2009;10 years ago",No,?
7,RabbitVCS,"Python, GTK+",Linux,GPL,"Nautilus, Thunar, Gedit, CLI","ca, cs, de, en, es, fa, fr, he, hr, it, ja, nb, nl, pl, pt, ro, ru, sk, sl, sv, zh_CN","http, https, svn, svn+ssh, file",0.17 [8],"June 23, 2017;2 years ago[9]",?,?
8,RapidSVN,"C++, wxWidgets","Linux, Unix, Mac OS X, Microsoft Windows, Solaris, many more",GPL,"GUI, standalone","Unicode, many",,0.12.1,"June 28, 2012;7 years ago",No,External
9,SubTile,"XUL, Javascript","Linux, Unix, Mac OS X, Microsoft Windows (Any with Xulrunner or Firefox)","GPL, Mozilla Public License, Apache License","GUI, standalone",English,"http, https, svn, svn+ssh",0.2,"May 3, 2016;3 years ago[10]",No,"Diff, merge, revision graph"
10,SVN Notifier,C#,Microsoft Windows,GPL,"GUI, standalone. It needs TortoiseSVN installed.",English,"http, https, svn, svn+ssh, file",1.9.3,"June 25, 2012;7 years ago[11]",?,?
11,TortoiseSVN,"C++, MFC",Microsoft Windows (32/64-bit),GPL,Windows Shell (Explorer),54 languages (including en),"http, https, svn, svn+ssh, file, svn+XXX",1.12.0,"April 25, 2019;6 months ago",Yes,"Diff, merge, Revision Tree, blame"
12,Trac,Python,"Linux, Unix, Mac OS X, Microsoft Windows",Modified BSD,web-based,[31 languages][3],file,1.2.4[12],"July 17, 2019;3 months ago[13]",Yes,Log
13,Version Control for engineers,-,Windows,freeware,"GUI, standalone",English,"http, https, svn, file",0.20,"November 10, 2016;2 years ago[14]",No,"Internal image diff, external diff, diff for MS Word doc, MS Visio VSD drawings, DWG and DXF drawings, Kompas CDW, commit logging"
14,ViewVC,Python,"http, https","""two-clause Berkeley-style""",web-based,English,"http, https, svn, svn+ssh, file",1.1.23,"November 4, 2014;5 years ago[15]",?,"Diff, annotation, blame, revision graph"
15,VisualSVN,,Microsoft Windows (32/64-bit),proprietary,Microsoft Visual Studio (all editions except Express),English,"http, https, svn, svn+ssh, file",7.1.2,"July 31, 2019;3 months ago[16]",Yes,?
16,Xcode,"Objective-C, Cocoa",Mac OS X,"Proprietary, free on Mac App Store",Xcode IDE,English,,5.0.1 (4H127),"October 22, 2013;6 years ago",?,?
