,Display technology,Screen shape,Largest known diagonal,Largest known diagonal.1,Typical use,Usable in bright room
0,Display technology,Screen shape,(in),(cm),Typical use,Usable in bright room
1,Eidophor front projection,Flat,(limited only by brightness),(limited only by brightness),TV,No
2,Shadow mask CRT,Spherical curve or Flat,42[1],107,"Computer monitor, TV",Yes
3,Aperture grille CRT,Cylindrical curve or Flat,42[2],107,"Computer monitor, TV",Yes
4,Monochrome CRT,Spherical curve or Flat,30[3],76,"Computer monitor, TV, Radar display, Oscilloscope",Yes
5,Direct view Charactron CRT,Spherical curve,24,61,"Computer monitor,Radar display",No
6,CRT self-contained rear-projection,Flat lenticular,80[4],203,TV,Yes
7,CRT front projection,Flat,(limited only by brightness),(limited only by brightness),TV or presentation,No
8,Plasma display panel (PDP),Flat,152[5],386,TV,Partial
9,Direct view LCD,Flat,110[6],274,"Computer monitor, TV",Yes
10,LCD self-contained rear-projection,Flat lenticular,70[7],178,TV,Yes
11,LCD front-projection,Flat,(limited only by brightness),(limited only by brightness),TV or presentation,Yes
12,DLP self-contained rear-projection,Flat lenticular,120[8],305,TV,Yes
13,DLP front-projection,Flat,(limited only by brightness),(limited only by brightness),TV or presentation,Yes
14,LCoS self-contained rear-projection,Flat,110[9],279,TV,Yes
15,LCoS front-projection,Flat,(limited only by brightness),(limited only by brightness),TV or presentation,Yes
16,Laser self-contained rear projection,Flat lenticular,75[10],191,TV,Yes
17,LED,Flat,279.92[11],711,"Billboards, TV",Yes
18,SED,Flat,55[12],140,"Computer monitor, TV",Yes
19,FED,Flat,?,?,"Computer monitor, TV",Yes
20,EPD (e-paper),Flat (flexible),?,?,Electronic paper,Yes
21,OLED,"Any, but most commonly flat rectangular with or without rounded edges, notch(es) and holes, circular, or curved (flexible)[13]",88[14],195.58,"Computer monitor, TV, Mobile phone",Yes
22,'LED' LCD,"Flat rectangular, circular, semi circle",80,203,"TV, Computer monitor",Yes
23,'QLED' LCD,Curved or Flat,80,203,"TV, Computer monitor",Yes
24,Telescopic pixel display,,,,,
25,Ferroelectric LCD,,,,,
26,'mLED' LED,Curved or Flat,??,??,"Mobile phone, Wearable Electronics, VR Display, Smartwatch, Optical Instruments, AR Display",Yes
27,QDLED[15][16][17][18],,,,,Yes
28,IMOD,Flat,1.2[19],3,Mobile phone[20],Yes
29,Laser Phosphor Display (LPD),Flat / Box,196,497.8,Presentation,Yes
30,Virtual retinal display,Any shape,,,"Experimental, possiblyvirtual reality",Dependson system
