,Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s)[a],Thrust (N)[a],Mass (kg),Thrust:​weight ratio[b],Chamber pressure (bar),Oxidiser:​fuel ratio
0,Aestus,Europe,Airbus Defence and Space,"Ariane 5 G, G+, ES",Upper,N2O4 / MMH,324[1],30000,111,27.6,11,1.9
1,Aestus II,Europe,Airbus Defence and Space,Ariane 5,Upper,N2O4 / MMH,340[2],55400,138,41.0,60,1.9
2,F-1[c],USA,Rocketdyne,Saturn V,1st,RP-1 / LOX,304 263 (SL),"7,770,000 6,770,000 (SL)",8391,82.27,70,2.27
3,F-1A[d][3],USA,Rocketdyne,,1st,RP-1 / LOX,303 270 (SL),"8,989,000 8,007,000 (SL)",9015,90.6,80,2.27
4,Gamma 2,United Kingdom,Bristol Siddeley,Black Arrow,2nd,RP-1 / H2O2,265[4],68200,173,40.22,,8
5,Gamma 8,United Kingdom,Bristol Siddeley,Black Arrow,1st,RP-1 / H2O2,265[5],234800,342,70.01,47.40,8
6,HiPEP[e],USA,NASA,Jupiter Icy Moons Orbiter,Vacuum,Xenon,"9,620 @39.3 kW",0.670 @39.3 kW,,,,
7,HM-7A,Europe,Snecma,Ariane 1,3rd,LH2 / LOX,443[6] 308 (SL),61700,149,42.2,30,5
8,J-2,USA,Rocketdyne,Saturn VSaturn IB,"2nd, 3rd",LH2 / LOX,421[7] 200 (SL),"1,033,100 486,200 (SL)",1438,73.18,30,5.5
9,J-2X,USA,Pratt & Whitney Rocketdyne,SLS,Upper,LH2 / LOX,448[8],1310000,2470,58.41,95,5.5–4.5
10,Kestrel,USA,SpaceX,Falcon 1,Upper,RP-1 / LOX,317,31000,52,65,9.3,
11,LE-5,Japan,MitsubishiNASDA,H-I,Upper,LH2 / LOX,450[9],103000,245,42.87,36.0,5.5
12,LE-5A,Japan,MitsubishiNASDA,H-II,Upper,LH2 / LOX,452[10],121500,242,51.19,40.0,5
13,LE-7,Japan,MitsubishiNASDA,H-II,1st,LH2 / LOX,446[11],"1,078,000 843,500 (SL)",1714,64.13,127,5.9
14,Merlin 1C,USA,SpaceX,Falcon 1 Falcon 9,"1st, 2nd",RP-1 / LOX,304[12] 266 (SL)[13],"480,408[12] 422,581 (SL)[12]",630,92[12],67.7,
15,Merlin 1D,USA,SpaceX,Falcon 9 v1.1,1st,RP-1 / LOX,311[14] 282 (SL)[14],723000,470,158,97,2.34
16,Merlin Vacuum 1C,USA,SpaceX,Falcon 1 Falcon 9,2nd,RP-1 / LOX,336[13],"413,644[13]",,92,,
17,RD-0120 11Д122,Soviet Union,KBKhA,Energia,1st,LH2 / LOX,455[15],"1,962,0001,526,000 (SL)",3450,57.80,219,
18,RD-56 (KVD-1) 11Д56У,Russia,KBKhM,GSLV Mk I,Upper,LH2 / LOX,462[16],69626,282,25.17,55.9,
19,RD-117 11Д511,Soviet Union,NPO Energomash,Soyuz-U,1st,RP-1 / LOX,316[17] 253 (SL),"978,000 778,648 (SL)",1100,72.18,54.2,
20,RD-118 11Д512,Soviet Union,NPO Energomash,Soyuz-U,2nd,RP-1 / LOX,314[17] 257 (SL),"1,000,278 818,855 (SL)",1100,75.91,59.7,
21,RD-170[f]11Д521[18],Soviet Union,NPO Energomash,Soyuz-U,1st,RP-1 / LOX,337.2 309.5 (SL),"7,904,160 7,256,921 (SL)",9300,79.57,250,
22,RD-264 11Д119,Soviet Union,NPO Energomash,Dnepr,1st,N2O4 / UDMH,318[19] 293 (SL),4521000,3600,128.15,206,
23,RD-275 14Д14,Russia,NPO Energomash,Proton-M,1st,N2O4 / UDMH,316[20] 287 (SL),"1,831,882 1,671,053 (SL)",1070,171.2,160.0,
24,RD-854 8D612,Soviet Union,Pivdenne/Pivdenmash,R-36ORB,3rd,N2O4 / UDMH,,,,,,
25,RD-855 8D68M,Soviet Union,Pivdenne/Pivdenmash,"R-36, Tsyklon-2, Tsyklon-3",1st vernier,N2O4 / UDMH,,328000,320,,65.70,1.97
