,Feature,AROS,FreeBSD,Linux-based,HP-UX,OpenVMS,macOS,Solaris,Windows (cmd),Windows (PowerShell)
0,List directory,"list, dir",ls,ls,ls,dir,ls,ls,dir,Get-ChildItem
1,Clear console,clear,clear,clear,clear,?,clear,clear,cls,Clear-Host
2,Copy file(s),copy,cp,cp,cp,copy,cp,cp,copy,Copy-Item
3,Move file(s),move,mv,mv,mv,?,mv,mv,move,Move-Item
4,Rename file(s),rename,mv,"mv, rename",mv,ren,mv,mv,ren (rename),Rename-Item
5,Delete file(s),delete,rm,rm,rm,del,rm,rm,del (erase),Remove-Item
6,Delete directory,delete,rmdir,rmdir,rmdir,del,rmdir,rmdir,rd (rmdir),Remove-Item
7,Create directory,makedir,mkdir,mkdir,mkdir,create/dir,mkdir,mkdir,md (mkdir),New-Item
8,Change current directory,cd [c 1],cd,cd,cd,set def,cd,cd,cd (chdir),Set-Location
9,Run shell script with new shell,shell file.shell,sh file.sh,sh file.sh,sh file.sh,@ file.com,sh file.sh,sh file.sh,cmd /c file.cmd,powershell file.ps1
10,Kill processes,?,"kill, killall","killall, pkill, kill, skill",kill,stop,"kill, killall","kill, pkill",taskkill,Stop-Process
11,Change process priority,changetaskpri,nice,"nice, chrt",nice,set proc/prio,nice,nice,"start /low, start /normal, start /high, start /realtime","Start-Process, wmic"
12,Change I/O priority,?,[c 2],ionice,?,set proc/prio,nice[c 3],?,?,?
13,Create file system,format,newfs,mkfs,newfs,init,mkfs,"newfs, zpool / zfs create",format,Format-Volume
14,File system check and recovery,?,fsck,fsck,fsck,analyze/disk,fsck,fsck,chkdsk,Repair-Volume
15,Create software raid,?,"atacontrol, gmirror, zfs create",mdadm -C,?,?,diskutil appleRAID,"metainit, zpool create",diskpart (mirror only),diskpart (mirror only)
16,Mount device,mount,mount,mount,mount,mount,"mount, diskutil mount",mount,mountvol,New-PSDrive
17,Unmount device,assign drivename: dismount,umount,umount,umount,dismount,"umount, diskutil unmount(disk)",umount,mountvol /d,Remove-PSDrive
18,Mount file as block device,?,mdconfig + mount,mount -o loop,?,?,hdid,lofiadm + mount,?,?
19,Show network configuration,?,ifconfig,"ip addr, ifconfig","ifconfig, lanadmin",tcpip sh net (sh net),ifconfig,ifconfig,ipconfig,"Get-NetIPInterface, ipconfig"
20,Show network route,?,"netstat -r, route get, route monitor","ip route, route",netstat -r,tcpip sh route,"netstat -r, route get, route monitor",netstat -r,route,Get-NetRoute
21,Trace network route,?,traceroute,traceroute,traceroute,tcptrace,traceroute,traceroute,tracert,Test-NetConnection
22,Trace network route with pings,?,traceroute -I,"traceroute -I, mtr",?,tcptrace,traceroute -I,traceroute -I,pathping,pathping
23,Feature,AROS,FreeBSD,Linux-based,HP-UX,OpenVMS,macOS,Solaris,Windows (cmd),Windows (PowerShell)
