,Application,AlembicImporter,RenderingEngine,VolumeRenderingfor clouds,InteractiveRendering,Isolatinglight contribution,LightLister,IESLight,Physical Sun & Sky,Sun Positioning by location and times,Light Portal,Shadow Catcher,IBL and Environment texture,IBL and Environment texture.1,IBL and Environment texture.2,Light Paint,Light Layers
0,Application,AlembicImporter,RenderingEngine,VolumeRenderingfor clouds,InteractiveRendering,Isolatinglight contribution,LightLister,IESLight,Physical Sun & Sky,Sun Positioning by location and times,Light Portal,Shadow Catcher,Lat Long,sIBL,Light Extraction[16],Light Paint,Light Layers
1,Maya,Yes,Maya Hardware 2.0,?,Yes,No[17],Light Editor,?,?,?,?,?,Yes,?,?,No,No
2,Maya,Yes,Maya Software,?,?,Light Linking,Light Editor,No,?,?,?,?,Env Sphere,?,?,No,No
3,Maya,Yes,Arnold,Yes,Yes,Light Linking,Light Editor,Ai Photometric Light,Yes,?,Yes,Yes,Yes,?,?,No,No
4,3ds Max,Yes,Quicksilver,?,Yes,No[18],Light Lister,?,?,?,?,?,?,?,?,No,No
5,3ds Max,Yes,Scanline,?,?,Light Exclude/Include,Light Lister,?,?,?,?,Yes,?,sIBL-GUI software,?,No,No
6,3ds Max,Yes,ART,?,?,?,Light Lister,Yes,?,?,?,?,?,?,?,No,No
7,3ds Max,Yes,Arnold,Yes,Yes,No[19],No,Ai Photometric Light,Yes,Sun Positioner[20],Yes,Yes,Yes,?,?,No,No
8,Blender,2.78 and later,Workbench,Some,Yes,?,Property Chart Addon / Gaffer addon,No,?,Sun Position addon,No,?,Yes,?,?,No,No
9,Blender,2.78 and later,EEVEE,Some,Yes,?,Property Chart Addon / Gaffer addon,No,Yes,Sun Position addon,No,Shader Node[21],Yes,?,?,No,No
10,Blender,2.78 and later,Cycles,Yes,Yes,D1985,Property Chart Addon / Gaffer addon,2.80 and later[22],Yes,Sun Position addon,from 2.75,from 2.79,Yes,sIBL_GUI for Blender addon/Add Environment nodes addon,?,No,No
11,MODO,Yes,MODO Renderer,Yes,Yes,Light Linking[23],?,Photometric Light,Directional Light[24],Directional Light[24],Portal,Shadow Catcher,Yes,mm_sIBLToModoEnvironment script,?,No,No
12,LightWave,11.6 and later,LightWave Renderer,Yes,Yes,?,?,Photometric Light,Yes,Yes,Yes,Yes,Yes,"original loader script, where most sIBL features were invented[25]",?,No,No
13,Houdini,Yes,Mantra (PT),Yes,Yes,Light categories,Light bank,Yes,?,?,?,Shadow Matte,Yes,?,?,?,?
14,Cinema 4D,Yes,CineRender,?,Yes,Exclude/Include,?,Yes,?,?,?,from R18,Yes,?,?,?,?
