,Desktop publishing software,Developer(s),Latest stable version,Initial release,License
0,CorelDRAW,Corel,"X8 (18.0) (March 15, 2016; 3 years ago)",1989,"Commercial, proprietary"
1,Fatpaint (Cloud-based),Mersica Inc.,"1.98 (August 19, 2011; 8 years ago)",2010,Freeware
2,Flare,MadCap Software,"2019 (March 29, 2019; 8 months ago)",2006,"Commercial, proprietary"
3,FrameMaker,Adobe Systems,"12.0.3 (September 25, 2014; 5 years ago)",1986,"Commercial, proprietary"
4,InDesign,Adobe Systems,"CC 2014 (10.0.0.70) (June 18, 2014; 5 years ago)",1999,"Commercial, proprietary"
5,InPage,InPage Team,3.0 (2008; 11 years ago),1994,"Commercial, proprietary"
6,iStudio Publisher,iStudio Software,"1.3 (February 3, 2017; 2 years ago)",2009,"Commercial, proprietary"
7,LyX,The LyX Team,"2.3.0 (March 16, 2018; 20 months ago)",1995,GPL
8,Microsoft Publisher,Microsoft Corporation,"16.0 (September 22, 2015; 4 years ago)",1991,Trialware
9,Apache OpenOffice Writer,Apache Software Foundation and others,"4.1.1 (August 21, 2014; 5 years ago)",2002,Apache License 2.0 (Apache OpenOffice 3.4 and later)
10,LibreOffice,The Document Foundation,"""Fresh"" version:6.3.3 (31 October 2019; 32 days ago[1]) ""Still"" version:6.2.8 (17 October 2019; 46 days ago[2]) [±]",2011,LGPL v3
11,PageMaker*,Adobe Systems,"7.0.2 (March 30, 2004; 15 years ago)",1985,"Commercial, proprietary"
12,PagePlus,Serif Europe,"X9 (November 19, 2015; 4 years ago)",1991,"Commercial, proprietary"
13,Pages,Apple Inc.,"6.3.1 (November 11, 2017; 2 years ago) [±]",2005,"Commercial, proprietary"
14,PageStream,Grasshopper LLC,5.0 (2005; 14 years ago),1986,"Commercial, proprietary"
15,QuarkXPress,"Quark, Inc.","2017 (April 16, 2017; 2 years ago)",1987,"Commercial, proprietary"
16,"Ready,Set,Go!",Diwan Software Limited,7.7.8b (September 2009; 10 years ago),1985,"Commercial, proprietary"
17,Scribus,The Scribus Team,1.4.8 (3 March 2019; 8 months ago),2003,GPL
18,The Print Shop,Brøderbund,23.0 (2009; 10 years ago),1984,"Commercial, proprietary"
19,Ventura*,Corel,10.0 (2002; 17 years ago),1986,"Commercial, proprietary"
20,Desktop publishing software,Developer(s),Latest stable version,Initial release,License
