,Name,"HDR input (EXR, HDR, Logluv, etc.)",Merging to HDR from LDR images,"HDR output (EXR, HDR, Logluv, etc.)",Tonemapping,Exposure fusion,Notes
0,Panoweaver Standard / Professional[4],Yes,Yes,Yes,Yes,Yes,
1,i2Align Quickage Express / Pro[5],No,Yes*,Yes*,No,No,*) Pro version only.
2,Pixtra PanoStitcher,No,No,No,No,No,
3,Pixtra OmniStitcher,No,No,No,No,No,
4,QuickPHOTO[6],No,No,No,No,Yes,
5,PhotoFit Harmony / Premium,No,No,No,No,No,
6,PanoramaPlus X4,No,No,No,No,No,
7,PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,No,No,No,No,No,
8,360 Panorama Professional,No,No,No,No,No,
9,VRstitcher Fisheye Pro,No,No,No,No,No,
10,COOL 360,No,No,No,No,No,
11,The Panorama Factory v5,No,No,No,No,No,
12,PixMaker Lite / Home / Business,No,No,No,No,No,
13,PTAssembler,No,No,No,No,Yes,Exposure fusion with TuFuse or enfuse. Automatic detection of image stacks.
14,PTgui / PTgui Pro,Yes*,Yes*,Yes*,Yes*,Yes*,Exposure fusion with enfuse or TuFuse. *) Pro version only.
15,Autopano Pro / Giga / Server,Yes,Yes,Yes,Yes,Yes,Ceased trading September 2018
16,Autostitch,No,No,No,No,No,
17,Calico Panorama,No,No,No,No,No,
18,Hugin,Yes,Yes,Yes,No,Yes,"Exposure fusion with enfuse, automatic detection of image stacks."
19,3DVista Stitcher 3.0,No,No,No,No,No,
20,D Joiner,No,No,No,No,No,
21,Panorama Maker 6,No,No,No,No,No,
22,Photovista Panorama,No,No,No,No,No,
23,PanoramaStudio,No,No,No,No,No,
24,Stitcher Unlimited 2009[7],Yes,Yes,Yes,Yes,No,
25,ADG Panorama Tools / Pro,No,No,No,No,No,
26,Panorama Composer 3,No,No,No,No,No,
27,Image Composite Editor,No,No,No,No,No,Supports 16-bit camera raw input via WIC plugins
28,Panorama Perfect,No,No,No,No,No,
29,Photoshop,Yes,Yes,Yes,Yes,No,
30,AIPR Lite 1,No,No,No,Yes*,No,(*) color mapping around the seams allows to preserve the original photometric properties of the images
31,Gigapan Stitch 1.0,No,No,No,No,No,
32,PanoramaMaker,No,No,No,No,No,
33,Panorama Stitcher,Yes,No,No,No,No,
34,SharpStitch,Yes,No,No,No,No,
35,Pano2VR / Pano2VR pro,Yes,No,Yes,No,No,
36,Name,"HDR input (EXR, HDR, Logluv, etc.)",Merging to HDR from LDR images,"HDR output (EXR, HDR, Logluv, etc.)",Tonemapping,Exposure fusion,Notes
