,Protocol,Creator,First public release date,License,Identity (not inc. alias),Asynchronous message relaying,Transport Layer Security,End-to-end encryption,Unlimited number of contacts,Bulletins to all contacts,One-to-many routing 4,Spam protection,"Group, channel or conference support",Audio/VoIP support,Webcam/Video,Batch file sharing,Media synchronisation,Serverless 6 (decentralized),Protocol.1
0,Bitmessage,Jonathan Warren,2012 Nov,Open standard,Alphanumeric address,Yes,Yes,Yes,Yes,No,Yes,Yes (through proof-of-work),Yes,No,No,Yes,No,Yes,Bitmessage
1,Bonjour,Apple Inc.,2002 August,Proprietary Freeware; portions under the Apache license,Username,No,No,No,Yes,No,multicast,Medium,No,No,No,Yes,No,Yes,Bonjour
2,Briar,Briarproject.org,2018 May 9,Open standard,Public & Private key (via QR Codes),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Briar
3,Gadu-Gadu,GG Network,2000 Jul 17,Proprietary,Unique numbere.g. 12345678,Yes,Yes,No,Yes,No,Centralistic,Yes 5 (simple),Yes,Yes,Yes,Yes,No,No,Gadu-Gadu
4,IRC,Jarkko Oikarinen,1988 Aug,Open standard,"Nickname!Username@hostname(or ""hostmask"")e.g. user!~usr@a.b.com1","Yes, but via a memo system that differs from the main system","Yes, depending on individual server support",OTR by DM to client-to-client only,No3,No,Simplistic multicast,Medium,"Yes (everyone, multiple simultaneous, any size)",No,No,Yes,No,No,IRC
5,Echo,spot-on.sf.net / goldbug.sf.net,2013,Open standard,Key,Yes,"Yes, optional",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Echo
6,Matrix,Matrix.org,2014 Sep,Open standard,Matrix user ID (MXID),Yes,"Yes, mandatory",Optional,Yes,No,Yes,Yes (using pluggable server-side filtering modules),Yes,Yes,Yes,Yes,Yes,No,Matrix
7,"MSNP (Windows Live Messenger, etc.)",Microsoft,1999 Jul,Proprietary,Email address (Microsoft account),Yes,No,No,Only for certified robots,No,Centralistic,Yes,Yes,Yes,Yes,Yes,Yes,No,"MSNP (Windows Live Messenger, etc.)"
8,MTProto (Telegram),Telegram Messenger LLP,2013 Aug,Open standard,"Phone number (e.g. +1234567890), nickname (e.g. @example)",Yes,Yes,No end-to-end encryption for group chats on any client. No end-to-end encrypted one-on-one chats on desktop clients,Yes,No,Yes,"Yes, contact blocking",Yes,Yes[1],No,Yes,Yes,No,MTProto (Telegram)
9,Mumble,Thorvald Natvig,1999 Jul,Open standard,Username,Yes,Yes,No,Only for certified robots,No,Centralistic,Yes,Yes,Yes,No,Yes,No,No,Mumble
10,"OSCAR (AIM, ICQ)",AOL,1997,Proprietary (Discontinued 15-Dec-2017)[2],"Username, Email Address or UINe.g. 12345678",Yes,"Yes (Aim Pro, Aim Lite)",No,No,No,Centralistic,client-based,"Yes (Multiple, simultaneous)",Yes,Yes,Yes,No,No,"OSCAR (AIM, ICQ)"
11,"RVP (Windows Messenger, etc.)",Microsoft,1997 Mar,Proprietary (Discontinued),Windows Active Directory Login,No,No,No,?,No,Centralistic,None,No,?,?,No,No,No,"RVP (Windows Messenger, etc.)"
12,Ricochet,Invisible.im,2014 Mar,Open standard,Tor onion address,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Ricochet
13,Jami (based on DHT and SIP),Savoir-faire Linux Inc.,2015 May,Open standard,40-digit address,Yes,Yes,Yes,Yes,No,Yes,Medium,Yes,Yes,Yes,Yes,No,Yes,Jami (based on DHT and SIP)
14,Signal Protocol,Signal Messenger,2014 Feb[3],Open standard,Phone number (e.g. +1234567890),Yes,Yes,Yes,Yes,?,Yes,"Yes, contact blocking",Yes,Yes,Yes,Yes,Yes,No,Signal Protocol
15,SIP/SIMPLE,IETF,1996,Open standard,user@hostname,Yes,Yes,Yes,Yes,Yes,No,Medium,?,Yes,Yes,Yes,No,Depends on implemenation,SIP/SIMPLE
16,Skype,Skype,2003 Aug,Proprietary,Username,Yes,Proprietary,No,No,No,Centralistic,client-based,Yes,Yes,Yes,Yes,No,No,Skype
17,Steam Friends,Valve,2003 Sep 12,Proprietary,SteamID/Username or Unique Number,Yes,Proprietary,?,"No, although rising",Yes,?,No,Yes,Yes,No,No,No,No,Steam Friends
18,TOC2,AOL,2005 Sep,Proprietary (Discontinued),Username or UINe.g. 12345678,Yes,No,No,No,No,Centralistic,No,paying members only,?,?,Partial,?,No,TOC2
19,TOX (based on DHT),irungentoo (github user),2013 June,Open standard,Public & Private key,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,TOX (based on DHT)
