,Unnamed: 0,read-write,read-only,write-only
0,ABAP Objects,,,
1,C++ (STL),,,
2,C#,type Bar { get { instructions ... return value; } set { instructions } },type Bar { get { instructions ... return value; } },type Bar { set { instructions } }
3,D,@property type bar() { instructions ... return value; } @property type bar(type value) { instructions ... return value; },@property type bar() { instructions ... return value; },@property type bar(type value) { instructions ... return value; }
4,eC,property type Bar { get { instructions ... return value; } set { instructions } },property type Bar { get { instructions ... return value; } },property type Bar { set { instructions } }
5,Java,,,
6,Objective-C 2.0 (Cocoa),@property (readwrite) type bar; and then inside @implementation - (type)bar { instructions } - (void)setBar:(type)value { instructions },@property (readonly) type bar; and then inside @implementation - (type)bar { instructions },
7,Swift,var bar : type { get { instructions } set«(newBar)» { instructions } },var bar : type { instructions },
8,Eiffel,feature -- Access x: TYPE assign set_x feature -- Settings set_x (a_x: like x) do instructions ensure x_set: verification end,,
9,Python,"def setBar(self, value): Tab ↹ instructionsdef getBar(self):Tab ↹ instructionsTab ↹ return valuebar = property(getBar, setBar)[33]",def getBar(self): Tab ↹ instructionsTab ↹ return valuebar = property(getBar),"def setBar(self, value): Tab ↹ instructionsbar = property(fset = setBar)"
10,Visual Basic .NET,Property Bar() As typeGetinstructionsReturn valueEnd GetSet (ByVal Value As type)instructionsEnd SetEnd Property,ReadOnly Property Bar() As typeGetinstructionsReturn valueEnd GetEnd Property,WriteOnly Property Bar() As typeSet (ByVal Value As type)instructionsEnd SetEnd Property
11,Xojo,ComputedProperty Bar() As typeGetinstructionsReturn valueEnd GetSet (ByVal Value As type)instructionsEnd SetEnd ComputedProperty,ComputedProperty Bar() As typeGetinstructionsReturn valueEnd GetEnd ComputedProperty,ComputedProperty Bar() As typeSet (value As type)instructionsEnd SetEnd ComputedProperty
12,PHP,"function __get($property) { switch ($property) { case 'Bar' : instructions ... return value; } }function __set($property, $value) { switch ($property) { case 'Bar' : instructions } }",function __get($property) { switch ($property) { case 'Bar' : instructions ... return value; } },"function __set($property, $value) { switch ($property) { case 'Bar' : instructions } }"
13,Perl,sub Bar { my $self = shift; if (my $Bar = shift) { # setter $self->{Bar} = $Bar; return $self; } else { # getter return $self->{Bar}; }},"sub Bar { my $self = shift; if (my $Bar = shift) { # read-only die ""Bar is read-only\n""; } else { # getter return $self->{Bar}; }}","sub Bar { my $self = shift; if (my $Bar = shift) { # setter $self->{Bar} = $Bar; return $self; } else { # write-only die ""Bar is write-only\n""; }}"
14,Raku,,,
15,Ruby,def bar instructions expression resulting in return value end def bar=(value) instructions end,def bar instructions expression resulting in return value end,def bar=(value) instructions end
16,Windows PowerShell,Add-Member «-MemberType »ScriptProperty «-Name »Bar «-Value »{ instructions ... return value } «-SecondValue »{ instructions } -InputObject variable,Add-Member «-MemberType »ScriptProperty «-Name »Bar «-Value »{ instructions ... return value} -InputObject variable,Add-Member «-MemberType »ScriptProperty «-Name »Bar -SecondValue { instructions } -InputObject variable
17,OCaml,,,
18,F#,member this.Bar with get() = expression and set(value) = expression,member this.Bar = expression,member this.Bar with set(value) = expression
19,JavaScript (ES6),get bar(«parameters») { instructions ... return value}set bar(«parameters») { instructions },get bar(«parameters») { instructions ... return value},set bar(«parameters») { instructions }
20,COBOL,METHOD-ID. GET PROPERTY bar. DATA DIVISION. LINKAGE SECTION. return-var declaration PROCEDURE DIVISION RETURNING return-var. instructions END METHOD. METHOD-ID. SET PROPERTY bar. DATA DIVISION. LINKAGE SECTION. value-var declaration PROCEDURE DIVISION USING value-var. instructions END METHOD.,METHOD-ID. GET PROPERTY bar. DATA DIVISION. LINKAGE SECTION. return-var declaration PROCEDURE DIVISION RETURNING return-var. instructions END METHOD.,METHOD-ID. SET PROPERTY bar. DATA DIVISION. LINKAGE SECTION. value-var declaration PROCEDURE DIVISION USING value-var. instructions END METHOD.
21,Cobra,pro bar «as type»Tab ↹ getTab ↹Tab ↹ instructionsTab ↹Tab ↹ return valueTab ↹ setTab ↹Tab ↹ instructions,get bar «as type»Tab ↹ instructionsTab ↹ return value,set bar «as type»Tab ↹ instructions
22,ISLISP,,,
