,Esperanto,Ido,English,French,German,Italian,Spanish,Portuguese
0,bubalo,bufalo,buffalo,buffle,Büffel,bufalo,búfalo,búfalo
1,ĉelo,celulo,cell,cellule,Zelle,cellula,célula,célula
2,ĉirkaŭ,cirkum,around/circa,autour de,ungefähr/circa,circa,"alrededor, cerca","ao redor de, em volta de"
3,dediĉi,dedikar,to dedicate,dédier,widmen,dedicare,dedicar,dedicar
4,edzo,spoz(ul)o,husband/spouse,époux,Ehemann,sposo,esposo,esposo/marido
5,elasta,elastika,elastic,élastique,elastisch,elastico,elástico,elástico
6,estonteco,futuro,future,futur,Zukunft,futuro,futuro,futuro
7,kaj,e(d),and,et,und,e(d),y/e,e
8,lernejo,skolo,school,école,Schule,scuola,escuela,escola
9,limo,limito,limit,limite,Limit,limite,límite,limite
10,maĉi,mastikar,to chew/masticate,mâcher,kauen,masticare,masticar,mastigar
11,mencii,mencionar,to mention,mentionner,erwähnen,menzionare,mencionar,mencionar
12,nacio,naciono,nation,nation,Nation,nazione,nación,nação
13,penti,repentar,to repent,repentir,bereuen,pentirsi,arrepentirse,arrepender-se
14,ŝipo,navo,boat/ship,bateau/navire,Schiff,barca/nave,barco/nave/navío,bote/barca/barco/nave/nau/navio
15,taĉmento,detachmento,detachment,détachement,Abteilung,distaccamento,destacamento,destacamento
16,vipuro,vipero,viper,vipère,Viper,vipera,víbora,víbora
